[2021-10-18 16:53:32,623][INFO][4498935296][main.py:88]SSRSpeed 1.01, Web Api Version 0.5.2
[2021-10-18 16:53:32,624][INFO][4498935296][requirements_check.py:73]Checking libsodium.
[2021-10-18 16:53:35,437][INFO][4498935296][requirements_check.py:57]Checking ./clients/v2ray-core/v2ctl
[2021-10-18 16:53:35,437][INFO][4498935296][requirements_check.py:57]Checking ./clients/v2ray-core/v2ray
[2021-10-18 16:53:35,439][INFO][4498935296][requirements_check.py:123]Shadowsocks-libev found /usr/local/bin/ss-local
[2021-10-18 16:53:35,439][INFO][4498935296][requirements_check.py:120]Obfs-Local found /usr/local/bin/obfs-local
[2021-10-18 16:53:35,440][INFO][4498935296][config_parser.py:176]Reading https://fast.losadhwselfff2332dasd.xyz/link/UHFeqi6SwVAesyOi?clash=2
[2021-10-18 16:53:37,655][INFO][4498935296][config_parser.py:220]Base64 decode failed.
[2021-10-18 16:53:38,149][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C01 Netflix
[2021-10-18 16:53:38,149][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C02 Netflix
[2021-10-18 16:53:38,149][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C03 Netflix
[2021-10-18 16:53:38,150][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C04 Netflix
[2021-10-18 16:53:38,150][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C05 Netflix
[2021-10-18 16:53:38,150][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C01 Netflix
[2021-10-18 16:53:38,151][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C02 Netflix
[2021-10-18 16:53:38,151][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C03 Netflix
[2021-10-18 16:53:38,151][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C04 Netflix
[2021-10-18 16:53:38,151][INFO][4498935296][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C05 Netflix
[2021-10-18 16:53:38,152][INFO][4498935296][config_parser.py:152]netflix - 新加坡高级 IEPL 中继 C01 Netflix
[2021-10-18 16:53:38,152][INFO][4498935296][config_parser.py:152]netflix - 新加坡高级 IEPL 中继 C02 Netflix
[2021-10-18 16:53:38,152][INFO][4498935296][config_parser.py:152]netflix - 新加坡高级 IEPL 中继 C03 Netflix
[2021-10-18 16:53:38,152][INFO][4498935296][ssrspeed_core.py:165]13 node(s) will be test.
[2021-10-18 16:53:38,153][INFO][4498935296][speed_test.py:421]Test mode : speed and tcp ping.Test method : FAST.
[2021-10-18 16:53:38,153][INFO][4498935296][speed_test.py:242]Starting test netflix - 新加坡 Legacy Magic IEPL 中继 C01 Netflix [1/13]
