[2021-10-18 17:01:05,784][INFO][4490935808][main.py:88]SSRSpeed 1.01, Web Api Version 0.5.2
[2021-10-18 17:01:05,784][INFO][4490935808][requirements_check.py:73]Checking libsodium.
[2021-10-18 17:01:09,685][INFO][4490935808][requirements_check.py:57]Checking ./clients/v2ray-core/v2ctl
[2021-10-18 17:01:09,686][INFO][4490935808][requirements_check.py:57]Checking ./clients/v2ray-core/v2ray
[2021-10-18 17:01:09,687][INFO][4490935808][requirements_check.py:123]Shadowsocks-libev found /usr/local/bin/ss-local
[2021-10-18 17:01:09,688][INFO][4490935808][requirements_check.py:120]Obfs-Local found /usr/local/bin/obfs-local
[2021-10-18 17:01:09,688][INFO][4490935808][config_parser.py:176]Reading https://fast.losadhwselfff2332dasd.xyz/link/UHFeqi6SwVAesyOi?clash=2
[2021-10-18 17:01:10,891][INFO][4490935808][config_parser.py:220]Base64 decode failed.
[2021-10-18 17:01:11,355][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C01 Netflix
[2021-10-18 17:01:11,355][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C02 Netflix
[2021-10-18 17:01:11,355][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C03 Netflix
[2021-10-18 17:01:11,356][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C04 Netflix
[2021-10-18 17:01:11,356][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Legacy Magic IEPL 中继 C05 Netflix
[2021-10-18 17:01:11,356][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C01 Netflix
[2021-10-18 17:01:11,356][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C02 Netflix
[2021-10-18 17:01:11,356][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C03 Netflix
[2021-10-18 17:01:11,356][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C04 Netflix
[2021-10-18 17:01:11,357][INFO][4490935808][config_parser.py:152]netflix - 新加坡 Magic IEPL 中继 C05 Netflix
[2021-10-18 17:01:11,357][INFO][4490935808][config_parser.py:152]netflix - 新加坡高级 IEPL 中继 C01 Netflix
[2021-10-18 17:01:11,357][INFO][4490935808][config_parser.py:152]netflix - 新加坡高级 IEPL 中继 C02 Netflix
[2021-10-18 17:01:11,357][INFO][4490935808][config_parser.py:152]netflix - 新加坡高级 IEPL 中继 C03 Netflix
[2021-10-18 17:01:11,358][INFO][4490935808][ssrspeed_core.py:165]13 node(s) will be test.
[2021-10-18 17:01:11,358][INFO][4490935808][speed_test.py:421]Test mode : speed and tcp ping.Test method : FAST.
[2021-10-18 17:01:11,358][INFO][4490935808][speed_test.py:242]Starting test netflix - 新加坡 Legacy Magic IEPL 中继 C01 Netflix [1/13]
[2021-10-18 17:01:11,363][INFO][4490935808][client_shadowsocks.py:36]Starting Shadowsocks-libev with server sgp01.cathayroute.com:33400
[2021-10-18 17:01:12,368][INFO][4490935808][speed_test.py:276]Client started.
[2021-10-18 17:01:13,374][INFO][4490935808][geo_ip.py:46]Translating sgp01.cathayroute.com to ipv4.
[2021-10-18 17:01:13,378][INFO][4490935808][geo_ip.py:63]Starting Geo IP.
[2021-10-18 17:01:14,430][INFO][4490935808][speed_test.py:111]Node inbound IP : 162.14.13.189, Geo : Hong Kong Unknown City, Tencent cloud computing
[2021-10-18 17:01:14,431][INFO][4490935808][speed_test_methods.py:72]Testing latency to server.
[2021-10-18 17:01:16,218][INFO][4490935808][speed_test_methods.py:68]Testing latency to google.
[2021-10-18 17:01:18,670][INFO][4490935808][geo_ip.py:63]Starting Geo IP.
[2021-10-18 17:01:19,687][INFO][4490935808][speed_test.py:127]Node outbound IP : 50.7.253.98, Geo : Singapore Singapore, Fdcservers
[2021-10-18 17:01:19,688][INFO][4490935808][speed_test.py:135]Performing netflix test LOCAL_PORT: 1087.
[2021-10-18 17:01:22,674][INFO][4490935808][speed_test.py:153]Netflix IP : 39.109.245.22
[2021-10-18 17:01:25,320][INFO][4490935808][speed_test.py:173]Netflix test result: DNS解锁.
[2021-10-18 17:01:25,321][INFO][4490935808][speed_test.py:218]Performing UDP NAT Type Test
[2021-10-18 17:01:27,327][INFO][4490935808][speed_test_methods.py:44]Starting speed test with FAST
[2021-10-18 17:01:27,328][WARNING][4490935808][speed_test.py:374]Re-testing node.
[2021-10-18 17:01:27,328][INFO][4490935808][speed_test_methods.py:44]Starting speed test with FAST
[2021-10-18 17:01:27,328][INFO][4490935808][speed_test.py:386][netflix] - [新加坡 Legacy Magic IEPL 中继 C01 Netflix] - Loss: [0.00%] - TCP Ping: [78.00] - Google Loss: [0.00%] - Google Ping: [244.00] - AvgStSpeed: [0.00MB/s] - AvgMtSpeed: [0.00MB/s] - NAT Type: Full-cone NAT - Internal End: 10.10.20.57:54320 - Public End: 50.7.253.98:43107
[2021-10-18 17:01:27,329][INFO][4490935808][base_client.py:52] ========== 
[2021-10-18 17:01:28,333][INFO][4490935808][speed_test.py:242]Starting test netflix - 新加坡 Legacy Magic IEPL 中继 C02 Netflix [2/13]
[2021-10-18 17:01:28,344][INFO][4490935808][client_shadowsocks.py:36]Starting Shadowsocks-libev with server sgp02.cathayroute.com:33400
[2021-10-18 17:01:29,350][INFO][4490935808][speed_test.py:276]Client started.
[2021-10-18 17:01:30,357][INFO][4490935808][geo_ip.py:46]Translating sgp02.cathayroute.com to ipv4.
[2021-10-18 17:01:30,359][INFO][4490935808][geo_ip.py:63]Starting Geo IP.
[2021-10-18 17:01:32,552][INFO][4490935808][speed_test.py:111]Node inbound IP : 162.14.13.189, Geo : Hong Kong Unknown City, Tencent cloud computing
[2021-10-18 17:01:32,553][INFO][4490935808][speed_test_methods.py:72]Testing latency to server.
[2021-10-18 17:01:34,343][INFO][4490935808][speed_test_methods.py:68]Testing latency to google.
[2021-10-18 17:01:36,578][INFO][4490935808][geo_ip.py:63]Starting Geo IP.
[2021-10-18 17:01:37,981][INFO][4490935808][speed_test.py:127]Node outbound IP : 50.7.253.98, Geo : Singapore Singapore, Fdcservers
[2021-10-18 17:01:37,981][INFO][4490935808][speed_test.py:135]Performing netflix test LOCAL_PORT: 1087.
[2021-10-18 17:01:40,853][INFO][4490935808][speed_test.py:153]Netflix IP : 39.109.245.22
[2021-10-18 17:01:43,364][INFO][4490935808][speed_test.py:173]Netflix test result: DNS解锁.
[2021-10-18 17:01:43,364][INFO][4490935808][speed_test.py:218]Performing UDP NAT Type Test
[2021-10-18 17:01:44,134][INFO][4490935808][speed_test_methods.py:44]Starting speed test with FAST
[2021-10-18 17:01:44,134][WARNING][4490935808][speed_test.py:374]Re-testing node.
[2021-10-18 17:01:44,135][INFO][4490935808][speed_test_methods.py:44]Starting speed test with FAST
[2021-10-18 17:01:44,135][INFO][4490935808][speed_test.py:386][netflix] - [新加坡 Legacy Magic IEPL 中继 C02 Netflix] - Loss: [0.00%] - TCP Ping: [78.00] - Google Loss: [0.00%] - Google Ping: [222.00] - AvgStSpeed: [0.00MB/s] - AvgMtSpeed: [0.00MB/s] - NAT Type: Full-cone NAT - Internal End: 10.10.20.57:54320 - Public End: 50.7.253.98:15422
[2021-10-18 17:01:44,135][INFO][4490935808][base_client.py:52] ========== 
[2021-10-18 17:01:45,139][INFO][4490935808][speed_test.py:242]Starting test netflix - 新加坡 Legacy Magic IEPL 中继 C03 Netflix [3/13]
[2021-10-18 17:01:45,147][INFO][4490935808][client_shadowsocks.py:36]Starting Shadowsocks-libev with server sgp03.cathayroute.com:33400
[2021-10-18 17:01:46,152][INFO][4490935808][speed_test.py:276]Client started.
[2021-10-18 17:01:47,161][INFO][4490935808][geo_ip.py:46]Translating sgp03.cathayroute.com to ipv4.
[2021-10-18 17:01:47,164][INFO][4490935808][geo_ip.py:63]Starting Geo IP.
[2021-10-18 17:01:48,089][INFO][4490935808][speed_test.py:111]Node inbound IP : 162.14.13.189, Geo : Hong Kong Unknown City, Tencent cloud computing
[2021-10-18 17:01:48,089][INFO][4490935808][speed_test_methods.py:72]Testing latency to server.
[2021-10-18 17:01:49,885][INFO][4490935808][speed_test_methods.py:68]Testing latency to google.
[2021-10-18 17:01:51,921][INFO][4490935808][geo_ip.py:63]Starting Geo IP.
[2021-10-18 17:01:52,829][INFO][4490935808][speed_test.py:127]Node outbound IP : 50.7.253.98, Geo : Singapore Singapore, Fdcservers
[2021-10-18 17:01:52,830][INFO][4490935808][speed_test.py:135]Performing netflix test LOCAL_PORT: 1087.
[2021-10-18 17:01:55,832][INFO][4490935808][speed_test.py:153]Netflix IP : 39.109.245.22
[2021-10-18 17:01:58,473][INFO][4490935808][speed_test.py:173]Netflix test result: DNS解锁.
[2021-10-18 17:01:58,473][INFO][4490935808][speed_test.py:218]Performing UDP NAT Type Test
